TF_NAME	MATRIX_ID	Z_SCORE	P_VALUE	SAMPLE_AVERAGE	BACKGROUND_AVERAGE	SAMPLE_DEVSTD	SAMPLE_SIZE
IRF3	MA1418.1	13.4075	1.14741e-41	0.770116	0.705022	0.0918771	93
IRF9	MA0653.1	12.9706	3.8186e-39	0.757096	0.68948	0.101202	93
IRF8	MA0652.1	12.2338	5.093699999999999e-35	0.777777	0.716154	0.093782	93
STAT1::STAT2	MA0517.1	12.023	8.33283e-34	0.851387	0.78214	0.0902885	93
IRF4	MA1419.1	11.5349	2.4543599999999998e-31	0.756904	0.700638	0.0879784	93
IRF2	MA0051.1	9.947	9.621550000000002e-24	0.802106	0.753151	0.0738125	93
IRF7	MA0772.1	9.63037	2.30346e-22	0.816736	0.760339	0.0837188	93
IRF1	MA0050.2	9.39813	2.2179699999999997e-21	0.804587	0.746391	0.084973	93
IRF5	MA1420.1	9.35245	3.0557099999999998e-21	0.787105	0.74655	0.0732215	93
IRF6	MA1509.1	6.68154	1.0341e-11	0.826022	0.792275	0.0748503	93
Stat2	MA1623.1	6.40756	6.84643e-11	0.83524	0.789435	0.0836101	93
RELA	MA0107.1	4.64335	1.6469e-6	0.851971	0.826197	0.063952	93
REL	MA0101.1	3.62697	1.3999e-4	0.886567	0.869717	0.0524578	93
ZBTB12	MA1649.1	3.51975	2.11989e-4	0.859923	0.840757	0.0557404	93
Stat4	MA0518.1	3.27164	5.25004e-4	0.849521	0.832738	0.0555815	93
ZNF317	MA1593.1	2.94297	0.00160593	0.811968	0.796164	0.0522321	93
PRDM4	MA1647.1	2.88023	0.00196159	0.858702	0.842234	0.0585787	93
Zic2	MA1629.1	2.75513	0.00290064	0.819236	0.804892	0.0519613	93
BHLHE22(var.2)	MA1635.1	2.75174	0.00293422	0.878114	0.85853	0.0673888	93
TEAD4	MA0809.2	2.73201	0.00310848	0.826769	0.811377	0.0597068	93
STAT1	MA0137.3	2.70837	0.00333873	0.841185	0.82571	0.0610991	93
TEAD3	MA0808.1	2.68785	0.00355888	0.88547	0.870246	0.0552784	93
Smad2::Smad3	MA1622.1	2.67771	0.00367015	0.807924	0.790122	0.0636264	93
NFKB2	MA0778.1	2.66477	0.00380138	0.771207	0.755761	0.0647595	93
Zic1::Zic2	MA1628.1	2.65117	0.00397537	0.884495	0.869542	0.0516603	93
IKZF1	MA1508.1	2.59915	0.00463119	0.845301	0.831165	0.0509696	93
FOS	MA0476.1	2.58596	0.00480201	0.835824	0.81946	0.0663635	93
Arx	MA0874.1	2.57981	0.00487716	0.748796	0.733105	0.0703383	93
TEAD1	MA0090.3	2.57786	0.00491139	0.807111	0.792671	0.0614163	93
STAT3	MA0144.2	2.57519	0.00495474	0.870932	0.857659	0.0540182	93
FOSL2	MA0478.1	2.54557	0.00539734	0.836894	0.822129	0.0605227	93
MYF5	MA1641.1	2.51353	0.00592669	0.833462	0.818577	0.0553864	93
BCL6	MA0463.2	2.49215	0.00626694	0.7503	0.738985	0.0533261	93
CUX2	MA0755.1	2.48106	0.00649541	0.776567	0.75931	0.0656113	93
Ptf1a(var.2)	MA1619.1	2.45916	0.00690425	0.842403	0.827653	0.0576893	93
BATF::JUN	MA0462.2	2.42519	0.00758439	0.806046	0.789704	0.066199	93
BATF	MA1634.1	2.41483	0.00780414	0.807677	0.791318	0.0665554	93
GSC	MA0648.1	2.36588	0.00892143	0.847538	0.833033	0.0595132	93
JUN(var.2)	MA0489.1	2.35	0.0093008	0.814065	0.80078800000000006	0.058912	93
LMX1A	MA0702.2	2.34189	0.00951489	0.818341	0.797493	0.0879015	93
BATF3	MA0835.2	2.33746	0.00962801	0.804717	0.78925	0.065569	93
Alx4	MA0853.1	2.31306	0.0102558	0.754897	0.74091	0.0669291	93
TBP	MA0108.2	2.31317	0.010257	0.833719	0.819899	0.0648258	93
SNAI1	MA1558.1	2.29473	0.0107927	0.887784	0.875314	0.0523493	93
CEBPG	MA0838.1	2.27571	0.0113245	0.787467	0.775369	0.0577639	93
NHLH1	MA0048.2	2.26115	0.0117569	0.84182	0.828809	0.0647658	93
PAX4	MA0068.2	2.23455	0.0126388	0.831692	0.81558	0.0670079	93
TGIF2LX	MA1571.1	2.20955	0.0134735	0.759816	0.749191	0.0461663	93
TEAD2	MA1121.1	2.19153	0.0140961	0.813968	0.802032	0.0557298	93
Stat5a::Stat5b	MA0519.1	2.13016	0.0164625	0.858295	0.847036	0.0527003	93
TGIF1	MA0796.1	2.12142	0.0168014	0.709073	0.696999	0.062196799999999997	93
SIX2	MA1119.1	2.11895	0.016918	0.748163	0.737451	0.0526053	93
